kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
backprop-rodinia-3.4.sm_75.ptx 91 : 524288 16749200 0 32768 32768 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 90 : 524288 6272656 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 89 : 524288 4118048 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 88 : 524288 5748352 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 87 : 524288 3849808 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 86 : 524288 15502928 0 32768 32768 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 84 : 1048576 3709056 0 0 0 0 0 0 32768 
backprop-rodinia-3.4.sm_75.ptx 83 : 1048576 7790048 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 82 : 1048576 8382912 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 81 : 1048576 7902944 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 80 : 1048576 7497600 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 79 : 1048576 7636032 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 78 : 1048576 10161056 0 32768 32768 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 77 : 1048576 9562080 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 76 : 1048576 39099008 0 32768 32768 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 75 : 1048576 36569024 0 32768 32768 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 74 : 1048576 8429184 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 73 : 1048576 12482208 0 32768 32768 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 72 : 1048576 11830400 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 71 : 1048576 8543328 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 198 : 1048576 11247712 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 70 : 1048576 11989440 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 197 : 1048576 7593216 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 69 : 1048576 8353056 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 196 : 1048576 11883232 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 68 : 1048576 9155168 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 195 : 1048576 11574720 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 67 : 1048576 234995584 0 0 0 163840 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 194 : 1048576 11167392 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 46 : 1048576 7762200 0 0 0 0 0 0 32768 
backprop-rodinia-3.4.sm_75.ptx 45 : 1048576 11447008 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 44 : 1048576 8152992 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 43 : 1048576 8309120 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 42 : 1048576 8501952 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 41 : 1048576 7947616 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 99 : 1048576 8174112 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 40 : 1048576 8069248 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 98 : 1048576 8238912 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 39 : 1048576 13619872 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 97 : 1048576 7737920 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 38 : 1048576 16792704 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 96 : 1048576 7947872 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 37 : 1048576 16922624 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 66 : 1048576 11839424 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 193 : 1048576 9035264 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 36 : 1048576 16561920 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 65 : 1048576 11785888 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 192 : 1048576 8891136 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 48 : 65536 530588 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 35 : 1048576 16195584 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 162 : 1048576 7935552 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 64 : 1048576 8694112 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 191 : 1048576 11765600 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 49 : 65536 711938 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 50 : 65536 524534 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 51 : 65536 707146 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 52 : 65536 704030 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 53 : 65536 9498148 0 0 0 40960 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 54 : 65536 807964 0 32768 32768 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 57 : 1048576 8243264 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 184 : 1048576 15069888 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 58 : 1048576 11806624 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 185 : 1048576 16080384 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 59 : 1048576 12110528 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 186 : 1048576 16580864 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 60 : 1048576 13160928 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 187 : 1048576 14848992 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 61 : 1048576 9082560 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 188 : 1048576 7377600 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 62 : 1048576 11903232 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 189 : 1048576 11281568 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 63 : 1048576 13306432 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 190 : 1048576 8229440 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 100 : 1048576 8025472 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 101 : 1048576 5759168 0 0 0 0 0 0 16384 
backprop-rodinia-3.4.sm_75.ptx 103 : 262144 7748000 0 16384 16384 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 104 : 262144 1972528 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 113 : 1048576 7513216 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 105 : 262144 2874896 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 106 : 262144 2036848 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 107 : 262144 3188128 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 108 : 262144 7878928 0 16384 16384 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 109 : 262144 2381728 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 110 : 262144 2510800 0 16384 16384 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 114 : 1048576 7493088 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 115 : 1048576 7991104 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 116 : 1048576 8049888 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 117 : 1048576 8034496 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 118 : 1048576 6793024 0 0 0 0 0 0 8192 
backprop-rodinia-3.4.sm_75.ptx 130 : 1048576 7778752 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 120 : 131072 3843152 0 8192 8192 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 121 : 131072 1021472 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 122 : 131072 1438464 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 123 : 131072 1031040 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 124 : 131072 1542384 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 125 : 131072 4188528 0 8192 8192 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 126 : 131072 1201408 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 127 : 131072 1589696 0 8192 8192 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 131 : 1048576 7624992 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 132 : 1048576 7998816 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 133 : 1048576 8056224 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 134 : 1048576 7904000 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 135 : 1048576 7008208 0 0 0 0 0 0 4096 
backprop-rodinia-3.4.sm_75.ptx 147 : 1048576 7459872 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 137 : 65536 1820160 0 4096 4096 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 138 : 65536 490624 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 139 : 65536 694784 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 140 : 65536 487472 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 141 : 65536 743488 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 142 : 65536 1787376 0 4096 4096 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 143 : 65536 592464 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 144 : 65536 427552 0 4096 4096 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 148 : 1048576 32675840 0 32768 32768 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 149 : 1048576 26829632 0 0 0 163840 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 150 : 1048576 8775040 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 151 : 1048576 7466910 0 0 0 0 0 0 32768 
backprop-rodinia-3.4.sm_75.ptx 153 : 65536 700492 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 154 : 65536 2915106 0 32768 32768 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 155 : 65536 1041676 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 156 : 65536 567964 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 157 : 65536 741244 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 158 : 65536 746252 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 159 : 65536 456116 0 0 0 32768 32768 0 0 
backprop-rodinia-3.4.sm_75.ptx 182 : 1048576 12360320 0 0 0 0 0 0 0 
backprop-rodinia-3.4.sm_75.ptx 183 : 1048576 13648352 0 0 0 0 0 0 0 
